Company,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3
"TRIPOS (DE), INC.",318013.25,318314.74,357103.88,334854.94,389698.86,342786.65,409294.41,417878.89
TRIPPE MANUFACTURING COMPANY,575231.3,499167.05,490099.61,606667.02,606706.39,562521.78,637550.58,673439.03
TRIPWIRE INC,1711022.67,1538179.08,1720190.76,1439168.99,1687276.71,1279695.59,1462428.27,1353457.25
"TRIREME MEDICAL, INC",303943.2,220430.57,234768.83,205790.33,163606.31,85854.19,78920.43,68854.74
TRISH MCEVOY,289700.31,237219.84,204535.89,206587.46,228480.47,210099.31,197598.39,200631.98
TRISTAR RISK MANAGEMENT,478961.17,396726.22,501796.81,531592.89,431476.09,393366.13,377902.7,516912.91
TRITON DIGITAL INC.,481076.18,506396.16,733327.19,644954.97,469543.86,607740.04,691175.35,564787.01
"TRITON MANAGEMENT GROUP, INC",85086.86,167786.96,146900.74,138733.15,171665.79,114332.26,107743.66,116204.81
"TRITON PACIFIC SECURITIES, LLC",73329.49,57112.84,62339.06,63259.77,58067.51,80761.73,90635.71,95053.22
"TRIUMVIRATE ENVIRONMENTAL, INC",290178.77,241308.97,272195.03,307493.23,313830.27,290527.47,305751.28,335339.91
"TROUW NUTRITION USA, LLC",515816.66,385304.98,429260.41,524530.01,726334.27,642057.15,929766.45,704668.36
"TRUECAR, INC.",1895310.22,1884263.26,1835515.14,5019362.39,2805274.87,2754367.55,4675420.89,3086232.62
"TRUEFFECT, INC.",131420.28,172463.76,167052.7,109973.23,79180.55,71061.44,126368.64,79803.71
TRUENORTH COMPANIES LLC,227176.77,299523.77,270151.8,252757.86,301988.19,319133.84,313262.11,377969.52
"TRUEPOSITION, INC",139110.85,82677.37,213131.5,92117.94,142102.87,113265.58,139471.59,115188.79
"TRUEVISION SYSTEMS, INC.",84621.65,87358.6,106747.36,119683.24,100038.47,98161.8,111292.73,85912.04
"TRUMP CARD CALIFORNIA, INC.",86552.22,117885.32,80535.18,110915.06,108477.12,111218.16,112633.98,128281.33
TRUMPF LTD,89607.15,66039.52,78506.53,44819.09,62008.17,56324.88,82239.87,49231.08
TRUPANION,262675.19,254801.64,347630.93,492694.23,699367.37,529505.2,690068.86,536997.74
"TRUSS, LLC.",257693.69,210171.32,218179.99,187485.44,209776.46,146710.24,181819.75,176765.34
"TRUSSWAY, LTD.",510301.06,420525.13,501583.5,451832.51,554908.16,593747.95,378222.52,448632.52
TRUSTAR ENERGY LLC,875539.22,882166.85,811515.69,748440.72,593891.52,432049.77,465483.27,519650.73
TRUSTCOMM,131871.85,148683.77,141107.57,97600.7,95141.36,103882.42,92431.38,65429.34
"TRYSTAR, INC.",247686.18,227162.46,229189.37,214168.93,264123.79,201796.03,282724.93,211065.14
"TSD RENTAL, LLC",90454.24,110909.95,104949.5,94640.72,102183.43,63973.5,78708.61,76745.16
TSI INCORPORATED,694320.84,522237.81,672072.7,746679.71,752094.98,690112.39,861432.17,769749.26
TSM CONTROLS,114686.23,76023.2,82562.1,53505.21,77702.34,41090.21,61924.71,68935.74
TSP CTE,1015388.73,1051207.57,1256765.34,1223300.25,1186083.09,1174034.28,1310336.2,1056709.25
"TSP SPECIALTY PRODUCTS, LTD, DBA. TEXAS SPECIALTY PRODUCTS",52132.39,57937.76,42433.82,40267.45,37243.88,41238.94,43737.2,25176.14
TSUBAKI OF CANADA LIMITED,127393.14,97375.98,99684.81,116099.06,153968.96,149388.62,170381.37,170644.29
"T-SYSTEM, INC.",504063.75,488822.31,373129.36,362446.84,439199.81,480725.38,495257.34,400333.41
"T-SYSTEMS NORTH AMERICA, INC",1302190.66,1095275.05,1208790.96,1229904.67,1159119.73,1101584.83,813691.03,645819.92
TTCU THE CREDIT UNION,169243.91,202498,174969.15,147709.32,222381.35,149524.56,178840.89,179643.71
TUDOR INVESTMENT GROUP,2864981.41,2041340.57,1544762.23,1461796.09,1350898.06,1359681.34,1186503.85,1031438.67
TUDOR PICKERING HOLT & CO.,1455629.68,1096670.07,888168.78,1227313.8,1530614.15,1293246.34,1446714.12,1205122.5
"TUNE, INC.",720234.99,858114.09,1039118.72,1764797.62,1103978.04,1107534.13,907759.79,1056510.51
"TUNGALOY AMERICA, INC.",147879.26,185981.47,178316.82,185277.33,211835.46,246116.89,181048.19,185820.2
TUNSTALL HEALTHCARE UK LTD,136979.51,97995.32,96246.61,57801.56,73452.06,69577.22,71807.91,73695.12
TUPELO HONEY HOSPITALITY CORPORATION,334606.06,232160.64,316407.12,357622.19,230062.98,321737.55,500099.19,455935.07
TURBOCHEF,231722.16,194791.42,226941.13,249700.98,192378.14,292500.94,375490.32,255405.2
"TURCK, INC.",1168158.95,710125.35,872360.1,942868.09,1277856.55,951352.83,1066679.83,971955.62
TURN INC.,1188852.94,973505.73,1162514.54,962305.27,839402.37,661226.03,753297.37,325566.13
TURNAROUND MANAGEMENT ASSOCIATION,80984.13,54295.7,71578.83,51818.13,59884.53,60755.84,89261.86,46450.89
TURNER IMPACT CAPITAL,80080.71,164673.95,152421.92,173958.12,127508.28,148493.06,183472.17,198918.2
TURNING POINT FOR GOD,142979.51,70184.92,83971.53,111448.42,79611.53,89193.75,53882.58,100437.13
"TURNITIN, LLC",849366.43,1011181.71,1916914.47,745227.07,988850.05,932446.71,926178.47,978332.33
TURTLE & HUGHES INC.,1622496.35,1433262.45,1422974.97,1254921.92,1198455.64,1207349.44,1258407.81,708165.5
TURTLE BEACH CORPORATION,438758.94,355091.59,351034.39,278106.55,221602.59,171413.74,192968.63,189053.58
TV GUIDE MAGAZINE,77569.59,56910.87,45233.61,52075.74,37079.5,40237.25,42082.18,40207.78
TV GUIDE NETWORK,218940.68,262191.5,228928.14,219577.75,251204.54,228524.09,258506.01,205167.5
"TVC PRO-DRIVER, INC.",141163.28,62974.14,124971.55,116083.24,109586.34,101257.21,104515.23,101585.41
TWAIN FINANCIAL PARTNERS,53685.2,80013.14,108488.17,40686.69,78323.57,47435.25,60930.18,50015.18
"TWB COMPANY, LLC",160006.28,163500.83,202180.77,212975.48,203188.95,143976.97,216093.66,206313.38
"TWEET-GAROT MECHANICAL, INC",77507.38,61622,63248.13,90240.57,85475.18,60430.24,70415.9,65685.33
TWIN CITIES ORTHOPEDICS PA,209662.87,198085.11,201334.79,209953.23,288643.79,228816.01,260721.85,245581.85
TWIN EAGLE RESOURCE MANAGEMENT,691989.76,459416.65,456751.73,484315.41,509492.31,315843.71,426687.94,425726.32
TWIN METALS MINNESOTA LLC,38224.94,34974.99,21726.17,22992.93,18030.1,16783.55,38706.36,78860.18
TWIN RIVERS PAPER COMPANY LLC,296907.67,309553.51,211708.09,260186.53,377087.28,349723.02,461226.12,389480.14
TWININGS NORTH AMERICA,315444.05,342488.83,449032.59,321448.1,344658.75,343086.57,567113.72,441113.75
"TWINMED, LLC",290167.09,206844.75,490583.96,200757.12,258119.48,279095.29,318623.63,249087.82
TWO HARBORS INVESTMENT CORP.,284846.14,361506.21,369509.05,144759.87,164440.15,184053.1,287271.12,227270.26
"TWO SIGMA INVESTMENTS, LP.",2016136.68,1740662.73,1872768.73,1883892.79,2499997.36,1690058.58,1911948.07,1930007.36
"TYLER, W. S. CANADA LTD",226974.3,178407.15,162798.06,111690.61,172703.46,119395,221932.2,132335.06
TYMPANI LLC,87448.99,92171.65,91483.35,121277.33,84488.08,82009.91,105741.05,105481.94
"TYR SPORT, INC.",168159.47,119480.86,164683.98,156316.29,235997.58,117131.8,178130.67,130137.62
"TZ MEDICAL, INC.",54646.68,76109.1,71270.67,79040.48,75187.02,72575.31,65220.85,53378.65
"U.S PIPE FABRICATION, LLC.",218642.4,126034.76,159021.98,125805.9,89866.36,79813.57,77093.54,67859.37
"U.S. CAD, INC.",375000.03,151677.81,252827.54,177886.53,259948.93,149832.68,195271.36,158019.96
U.S. EAGLE FEDERAL CREDIT UNION,99750.54,82798.1,74305.5,109445.16,104827.22,76206.1,100929.21,88774.65
U.S. EQUITY ADVANTAGE,7290.74,9036.55,7842.74,6419.32,3283.69,3274.45,2308.11,1772.36
"U.S. GREENFIBER, LLC",206332.38,191582.43,216634.88,255683.34,239849.78,248066.52,247910.13,232624.59
U.S. NONWOVENS CORP.,31649.44,34026.63,33915.12,29189.41,31671.31,25865.42,21266.54,20742.64
U.S. SILICA COMPANY,1549433.45,1172087.68,733038.63,995781.81,1372838.32,1266227.28,1734347.75,1872349.9
"U.S. SOYBEAN EXPORT COUNCIL, INC.",802896.97,721631.89,683303.79,771320.64,320864.91,409087.25,739812.28,503587.37
U.S. WITTENSTEIN GROUP,189612.69,188369.84,150266.67,197843.84,196469.15,123793.94,162957.96,132520.42
"UBISOFT, INC",548735.5,458122.02,366067.92,592366.11,636361.92,601128.41,437184.63,588604.91
UBT MARKETING TRUST,52041.32,124484.09,97356.48,136128.5,116247.62,141014.73,225786.73,138941.28
UC FOUNDATION,404743.7,426940.46,418254.31,306838.07,360552.18,332134.83,394542.03,249997.1
UCARE MINNESOTA,357240.9,148189.94,159652.7,177276.6,287409.55,163929.34,195639.97,224215.75
UCHICAGO IMPACT LLC,99527.53,103152.4,119740.19,93750.4,137448.3,111879.61,71172.72,73072.78
UFCW LOCAL 555,63695.81,75650.86,89917.18,52655.91,65375.01,59619.23,66415.32,63188.28
ULTIMA BUSINESS SOLUTIONS LTD.,282260.71,252320.69,299150.07,255848.8,268494.78,213025.61,207702.87,254642.94
ULTIMATE BUILDER SERVICES,358534.68,577178.6,666120.52,557040.96,503147.05,521820.86,572128.95,440342.08
"ULTIMED, INC",122512.96,79819.68,92178.55,106631.28,112852.14,54657.7,102871.8,122652.24
ULTRAGENYX PHARMACEUTICAL INC,1304425.75,1524665.12,2034289.94,2370476.07,2673782.1,2331200.34,2793462.06,2359231.57
"ULTRAX AEROSPACE, INC.",41150.63,43320.92,43259.25,68662.07,48799.13,54385.8,72564.18,78516.88
UMA EDUCATION INC.,1241974.65,1367492.22,1144622.02,1491609.95,1483573.52,1306919.38,1333684.84,1273941.46
UMT360,68914.14,51505.3,55270.14,46659.47,91083.9,53175.91,82339.65,53903.52
UMWA HEALTH AND RETIREMENT,241397.08,139492.14,181345.33,134354.34,169526.98,102157.24,111495.71,91361.44
UNC MANAGEMENT COMPANY INC,237047.92,106138.54,198679.65,97103.31,178609.33,130986.29,193624.34,197806.74
UNDERGROUND SOLUTIONS INC,964119.33,779134.29,585915.52,470538.29,396779.48,369367.15,431917.96,416026.52
"UNFI CANADA, INC",171919.63,136507.96,142779.21,111582.8,128989.46,125768.03,148308.92,127672.44
UNICAL AVIATION INC.,88900.18,99909.89,167044.48,156780.15,110875.45,102490.48,125511.79,93052.99
UNICREDIT BANK AG,261069.62,277267.9,233428.35,196023.28,280358.2,182617.93,248240.33,222940.4
"UNIEK, INC.",68324.54,99550.19,71595.12,73901.97,68406.74,65473.88,79157.31,86003.68
UNIFIED CARRIER REGISTRATION PLAN,30521.94,21710.01,35932.92,12187.09,10211.92,20399.68,38132,34753.25
UNIFIED ENTERPRISES CORP.,394530.48,323354.81,421220.84,310301.18,180441.34,263386.05,317429.38,305501.69
UNION CORRUGATING COMPANY,260375.23,297732.22,267110.89,271901.7,333756.76,278084.45,251688.94,221174.36
UNION FOR REFORM JUDAISM,502344.66,477886.26,523054.79,622399.34,463154.01,561523.49,692155.79,696118.85
"UNION GAMING GROUP, LLC",245247.42,169925.63,105128.75,236483.28,278410.56,127402.8,102500.91,159683.63
UNION MUTUAL OF VERMONT COMPANIES,123331.71,108769.41,126908.88,142102.54,135139.16,139140.34,131018.82,125342.51
UNION OF CONCERNED SCIENTISTS,472429.43,461233.31,525024.83,406174.29,540001.86,441858.61,541219.76,618030.99
UNION SQUARE ADVISORS LLC,302181.28,330655.36,383706.7,399545.18,457000.25,348203.45,292984.51,314219.43
"UNIQUE VACATIONS, INC",295892.72,305427.57,320140.94,339027.06,315052.96,319077.5,264347.55,249176.71
"UNIRUSH, LLC",574418.76,447621.11,450096.93,507606.51,475085.46,603670.73,702363.3,63398.67
UNITE EUROTHERAPY,70040.74,67760.89,120827.2,106893.55,133878.48,59009.88,83133.25,71676.72
UNITE PRIVATE NETWORKS L.L.C.,267377.18,262444.9,265346.57,252435.64,296193.19,253338.41,268753.96,297241
"UNITED AMERICAN INDUSTRIES, INC D/B/A WISDOM NATURAL BRANDS",38293.43,49032.3,49709.74,36785.95,38317.34,46240.05,45165.4,42853.19
UNITED AUTOMOBILE INSURANCE GROUP - REVISED,275494.8,219717.8,199718.57,142019.71,107926.03,124284.21,108173.4,91285.24
UNITED CHURCH INSURANCE ASSOCIATION,26918.58,30854.63,44198.92,42764.88,50209.26,76381.71,56516.5,95088.68
UNITED COMMUNICATION GROUP LIMITED PARTNERSHIP,3166423.56,2186292.25,2163851.21,1620091.61,2499245.6,932404.57,569662.69,349363.13
UNITED ELECTRIC SUPPLY,90463.81,54911.38,56530.59,84334.68,84236.88,55480.98,60642.54,47134.14
"UNITED ENGINES, LLC",344810.58,227719.01,83606.31,61062.17,65538.07,42467.65,44475.65,36695.61
UNITED HERITAGE FINANCIAL GROUP,247363.99,243465.46,195613.26,175356.29,251199.99,460655.88,287506.75,255064.34
"UNITED METHODIST WOMEN, NATIONAL OFFICE, OF THE UNITED METHODIST",30228.04,38910.58,38405.45,39241.46,39108.24,34279.01,25132.21,8224.63
"UNITED NATIONS FOUNDATION, INC.",2579629.52,2327807.21,1985528.07,1678007.24,2186779.01,1797007.8,1633995.58,1791510.18
"UNITED NEGRO COLLEGE FUND, INC.",1365061.77,1200274.59,946434.9,899541.75,1144677.4,927035.34,531149.35,642462.28
"UNITED PHOSPHORUS, INC.",725410.24,852415.93,664872.76,888389.14,890230.36,911255.79,764586.73,940524.66
"UNITED SCRAP METAL, INC.",106254.92,135859.86,142696.39,197900.89,249273.37,283105.7,280121.08,283632.19
UNITED STATES ANTI-DOPING AGENCY,161737.26,176702.65,138898.07,181997,229258.32,145983.89,174534.2,86022.63
UNITED STATES OLYMPIC COMMITTEE,1629810.12,1545526.23,1770344.64,1891592.06,2293296.51,1393949.86,1532719.95,1330306.02
UNITED STATES TENNIS ASSO NORTHERN CALIFORNIA,256026.36,279108.99,211760.56,305688.77,273320.23,207311.96,271285.69,318272.19
UNITED STATES TENNIS ASSOCIATION,1025337.1,915127.55,1130449.76,1364689.98,958938.9,909857.87,956421.16,1281478.3
UNITED STEEL SUPPLY,60525.1,82354.05,87604.56,65569.95,117155.88,127587.68,130631.06,99647.88
UNITED THERAPEUTICS,4706387.88,3814476.74,4406001.26,3543850.65,4047866.27,3482359.13,3741307.34,3442962.98
UNITED TRANZACTIONS,21761.98,15587.37,15077.42,20970.92,21611.92,15396.95,16201.13,19118.31
UNITED WAY OF METROPOLITAN CHICAGO,99978.34,72062.35,92336.37,73556.76,74326.59,103464.2,52947.6,82035.64
UNITED WAY OF METROPOLITAN DALLAS,149468.37,135817.32,190230.38,126251.39,184092.3,213438.69,196249.16,160420.33
UNITED WAY WORLDWIDE,641542.48,727892.41,810547.14,651564.55,662617.91,664356.37,665274.65,595402.04
UNITRENDS INC.,389518.54,467325.84,372200.54,256842.66,270217.92,263850.73,332491.74,301915.95
UNITRON CANADA,441143.73,418191.57,354912.83,338518.71,350898.36,377227.34,356141.8,343210.89
"UNITRON HEARING, INC.",666205.19,510692.73,619757.75,595427.01,615381.45,616362.48,633804.38,558115.42
"UNIVERSAL AIR TRAVEL PLAN, INC.",135849.11,104839.97,97463.61,125630.19,130746.98,105468.29,89630.89,141003.66
UNIVERSAL DISPLAY CORPORATION,268379.59,333592.53,358728.96,303100.63,339777.5,373482.43,502034.54,431538.05
UNIVERSAL LIGHTING TECHNOLOGIES INC,458250.19,533362.13,508915.17,493324.43,490554.25,500689.22,476124.86,389795.38
"UNIVERSAL POWER GROUP, INC.",101356.62,96464.04,79575.18,80265.06,82642.45,80354.2,58011.73,78182.82
UNIVERSAL SERVICE ADMINISTRATIVE COMPANY,443714.35,318509.24,338731.54,350188.81,462349.31,308676.76,419945.01,308928.74
UNIVERSITY CORPORATION FOR ADVANCED INTERNET DEVELOPMENT,439984.06,440848.77,512864.75,349408.54,501170.48,366514.68,419180.51,299309.71
UNIVERSITY OF ILLINOIS EMPLOYEE CREDIT UNION,57260.75,68615.1,71465.31,60959.78,74629.81,84517.86,102250.46,77225.81
UNIVERSITY OF VIRGINIA INVESTMENT MANAGEMENT COMPANY,268801.63,182449.78,202739.87,179403.49,235922.7,160388.31,234869.11,126072.8
UNIVERSITY ORTHOPEDICS,41236.39,69675.88,42704.96,30412.93,59562.33,47928.39,47065.41,17874.32
"UNIVERSITY SYSTEM OF MARYLAND FOUNDATION, INC",162901.61,185847.56,168466.44,94145.87,146509.6,167443.05,274537.62,103936.33
UNIVERSUM,139045.26,183545.06,187350.22,240682.54,158803.38,126341.81,194784.12,148214.57
UNTRACHT EARLY LLC,12424.73,17150.39,29519.13,27792.36,26642.72,27619.29,36265.97,29018.21
"UPONOR, INC.",1216420.57,1338290.31,1369897.64,1276150.67,1305622.81,1135002.48,1002604.48,1179519.47
UPPER PENINSULA POWER COMPANY,236285.61,220092.04,226806.01,195872.7,199559.04,159287.55,176188.72,183897.77
UPSHAW LANIER INC,57747.36,47020.47,40848.08,45922.15,45128.76,65372.02,31944.47,61006.34
"UPSHER-SMITH LABORATORIES, INC.",2816239.39,2562368.24,2483873.48,2052668.29,2232611.3,1548218.37,1549493.61,1519598.69
"UPSIGHT, INC",17497.47,26450.08,42559.84,30809.06,32368.76,52959.8,62618.37,54042.11
UPSTREAM SOLUTIONS PTY LTD,152295.99,139593.13,140897.68,134959.16,86482.83,67238.91,85589.07,114308.44
"UPWARD UNLIMITED, INC",230134.55,182258.74,290456.02,279940.66,211804.49,233353.92,298897.69,314020.08
URAC,220226.08,164771.38,248309.48,230044.32,232056.65,216275.71,297045.23,274933.81
URBAN ALLIANCE,31471.44,42497.37,50012.22,99880.34,61050.34,64192.58,56362.81,116054.57
URBAN ELECTRIC POWER LLC,24426.66,21112.81,36878.3,34348.2,18812.51,41097.06,31955.9,31638.6
"URBAN FINANCIAL OF AMERICA, LLC",365516.8,282881.06,570611.21,510635.9,658674,361469.16,561271.85,541318.8
URBIS PTY LTD,470932.9,466098.05,674317.36,535006.85,578252.77,613903.02,719098.47,633618.59
URC VENTURES INC,59802.56,33678.6,31682.54,21320.63,26814.45,39214.14,17786.04,31012.87
UROLOGIX,37297.03,40389.13,108799.33,86977.01,105816.75,135855.2,58522.8,54158.03
URSCHEL LABORATORIES INC,275988.63,299791.98,282136.13,332321.17,316555.39,295519.8,334548.84,274384.25
US EQUESTRIAN FEDERATION,291481.45,318613.69,353161.88,554410.82,313752.52,203902.24,255481.48,361837.51
US GREEN BUILDING COUNCIL INC,209933.7,123175.64,154336.36,143658.58,124946.86,113423.34,146460.3,97338.05
US LEGAL SUPPORT INC,1952346,1979867.9,1889869.85,1606268.17,1989004.75,1790029.98,1799620.63,1628851.77
US MAGNESIUM,274697.83,182298.39,205601.65,145719.48,154176.85,173514.69,129389.02,141278.3
US TOBACCO COOPERATIVE,358177.07,313046.68,288972.92,423292.42,459917.64,285543.76,297147.38,402783.4
US TSUBAKI,633613.31,665805.1,769976.78,715201.34,805153.52,745090.81,848490.55,738966.59
"US WATER SERVICES, INC",1703275.98,1149004.8,1006343.63,1099448.96,1114050.09,1551699.37,1547384.44,1731128.42
US WORLDMEDS LLC,1636234.7,1272851.12,1667639.24,1016045.92,1573009.68,1545800.45,2171136.63,1917101.79
USA SWIMMING INC.,340571.3,224562.89,381548.61,448809.54,298274.76,232882.57,390815.13,460746.52
USAC,45412.78,38533.89,25581.49,31170.79,47719.32,44784.81,23949.71,36739.79
"USALCO, LLC",70556,67584.66,56830.65,73947.9,69902.78,72554.74,85067.64,85824.02
"USC CONSULTING GROUP, LP.",1221813.58,1140564.33,1139445.96,864165.93,891490.43,814748.32,1291189.1,1082630.59
USEREADY INC,43422.19,35735.09,49045.35,56867.64,84204.41,86305.88,101297.55,88342.88
"USHIP, INC.",221307.24,258623.97,211053.44,261214.02,286879.79,238598.46,383400.9,234609.87
USPA GLOBAL LICENSING INC.,178462.81,216484.52,191165.14,193882.86,186588.48,182936.42,145543.18,196530.32
USPACK LOGISTICS CORP.,151390.15,175917.54,211460.76,214460.29,316032.77,306344.82,430758.01,276488.19
USTA PACIFIC NORTHWEST SECTION OFFICE,81086.58,41917.61,45927.36,57913.05,82466.75,47902.22,48188.99,72303.9
USTER TECHNOLOGIES INC.,124169.06,140945.95,113389.04,87579.94,113164.38,146712.41,75173.11,112212.35
UTIMCO,275454.01,167690.4,238304.15,113597.51,208782.8,170888.57,250180.31,212931.74
"V & V SUPREMO FOODS, INC.",84122.33,93579.84,147711.72,152989.03,105793.45,118183.08,115492.89,119841.65
V S M ABRASIVES CORPORATION,215252.98,239892.53,286333.35,270228.51,278062.22,240473.62,288029.84,228320.8
"VAALCO ENERGY, INC.",295235.59,87266.25,204620.53,121261.27,291569,198298.92,157904.43,233272.19
VACUUM ENGINEERING AND MATERIALS CO INC__US,80140.13,76367.24,76609.35,91543.79,74793.15,81328.74,106361.34,78576.25
VACUUM FURNACE ENGINEERING LTD,57685.99,67227.02,111564.52,110738.57,113921.96,142472.38,150353.29,178072.26
"VAE, INC.",300788.82,276777.11,926827.28,359063.08,489213.93,695691.17,554447.62,504602.59
"VAHLE, INCORPORATED",144763.44,138923.99,141325.19,135220.34,119411.33,169841.87,196312.38,127092.01
VALBRUNA STAINLESS INC,144740.2,119009.98,98977.13,84978.22,139102.19,114512.95,132992.59,111313.01
VALCO INC,211199.49,249587.23,252753.9,258215.3,257348.3,289700.53,237384.27,216172.93
"VALE ROOFING, LLC",40600.83,35013.3,23479.24,16987.15,34373.97,33556.22,39754.82,55495.4
VALENCE SURFACE TECHNOLOGIES LLC,85657.74,155038.91,324792.05,296392.25,212072.96,170485.04,216905.13,155886.62
VALENT U S A CORPORATION,2360408.17,3266368.96,2418822.48,2826366.24,2495867.24,2688484.05,2228957.81,2745986.44
"VALERITAS, INC.",689167.1,430952.43,375060.57,383256.19,469935.68,476234.13,651010.7,579505.76
VALESCO INDUSTRIES,52127.84,88950.56,100725.86,38231.75,43211.15,65655.87,84520.46,94344.19
"VALET LIVING, LLC.",933945,795272.58,975083.52,971565.36,945217.45,787906,1251767.36,1577620.82
"VALIDUS SERVICES (BERMUDA), LTD",1694027.68,1788380.91,1763136.52,1418416.78,1657022.39,1660783.22,2229301.31,2630555.54
"VALLEY FORGE FABRICS, INC.",105570.76,92785.85,68888.42,96516.76,125156.65,82595.33,144358.25,148183.91
VALLEY OF THE SUN UNITED WAY,27360.85,26420.34,26568.89,26233.03,32625.77,30540.48,46839.01,22893.28
"VALLEY POWER SYSTEMS, INC.",593975.46,546882.47,567374.1,538040.48,568646.57,530587.5,562647.88,491110.42
VALLEY SERVICES,501197.64,404889.04,551533.16,612787.38,539319.16,484876.93,268174.49,292298.04
